question_id,model,labels,correct,domain,n_steps
0,gemini,"['Setup' 'Computation' 'Setup' 'Setup' 'Backtrack' 'Exploration'
 'Computation' 'Computation' 'Exploration' 'Computation' 'Computation'
 'Setup' 'Computation' 'Computation' 'Computation' 'Verification'
 'Verification' 'Exploration' 'Backtrack' 'Computation' 'Exploration'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Verification' 'Setup' 'Setup'
 'Computation' 'Computation' 'Exploration' 'Computation' 'Computation'
 'Setup' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Exploration' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation']",1,qq8933/AIME_1983_2024,53
0,deepseek,"['Computation' 'Computation' 'Computation' 'Setup' 'Conclusion'
 'Computation' 'Backtrack' 'Backtrack' 'Conclusion' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Backtrack'
 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack' 'Computation' 'Backtrack'
 'Backtrack' 'Backtrack' 'Computation' 'Backtrack' 'Conclusion'
 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack' 'Conclusion'
 'Conclusion' 'Conclusion' 'Backtrack' 'Backtrack' 'Computation'
 'Backtrack' 'Verification' 'Computation' 'Computation' 'Verification'
 'Verification' 'Computation' 'Backtrack' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack'
 'Conclusion' 'Conclusion' 'Backtrack' 'Backtrack' 'Conclusion'
 'Computation' 'Computation' 'Backtrack' 'Conclusion' 'Conclusion'
 'Backtrack' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Backtrack' 'Backtrack' 'Conclusion' 'Conclusion'
 'Backtrack' 'Computation' 'Backtrack' 'Conclusion' 'Backtrack'
 'Computation' 'Conclusion' 'Conclusion' 'Computation' 'Conclusion'
 'Conclusion' 'Computation' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Setup' 'Conclusion']",1,qq8933/AIME_1983_2024,101
1,gemini,"['Setup' 'Setup' 'Computation' 'Conclusion' 'Setup' 'Exploration'
 'Exploration' 'Computation' 'Exploration' 'Exploration' 'Exploration'
 'Conclusion' 'Exploration' 'Exploration' 'Backtrack' 'Exploration'
 'Exploration' 'Backtrack' 'Setup']",0,AI-MO/NuminaMath-CoT/aops_forum,19
1,deepseek,"['Setup' 'Computation' 'Setup' 'Computation' 'Setup' 'Conclusion'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Backtrack'
 'Setup' 'Exploration' 'Setup' 'Backtrack' 'Exploration' 'Exploration'
 'Computation' 'Setup' 'Computation' 'Computation' 'Computation' 'Setup'
 'Computation' 'Setup' 'Setup' 'Verification' 'Computation' 'Conclusion'
 'Computation' 'Conclusion' 'Computation' 'Computation' 'Computation'
 'Backtrack' 'Conclusion' 'Computation' 'Exploration' 'Setup' 'Setup'
 'Exploration' 'Exploration' 'Setup' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Backtrack' 'Exploration' 'Backtrack' 'Exploration' 'Setup' 'Setup'
 'Computation' 'Exploration' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Conclusion' 'Computation' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Setup' 'Setup' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Computation' 'Setup' 'Computation' 'Computation' 'Conclusion' 'Setup'
 'Conclusion' 'Computation' 'Backtrack' 'Setup' 'Exploration'
 'Exploration' 'Setup' 'Computation' 'Conclusion' 'Conclusion' 'Backtrack'
 'Conclusion' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Computation' 'Setup' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Setup' 'Computation'
 'Computation' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Conclusion'
 'Exploration' 'Exploration' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Setup' 'Exploration' 'Setup' 'Exploration'
 'Verification' 'Conclusion' 'Exploration' 'Exploration' 'Exploration'
 'Conclusion' 'Setup' 'Computation' 'Computation' 'Exploration'
 'Computation' 'Conclusion' 'Backtrack' 'Computation' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Computation' 'Backtrack'
 'Setup' 'Setup' 'Backtrack' 'Computation' 'Computation' 'Exploration'
 'Exploration' 'Setup' 'Exploration' 'Backtrack' 'Exploration' 'Setup'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Exploration'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Exploration' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Computation' 'Setup' 'Conclusion' 'Conclusion' 'Backtrack'
 'Computation' 'Setup' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Conclusion' 'Computation' 'Exploration'
 'Computation' 'Computation' 'Setup' 'Conclusion' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Exploration' 'Computation' 'Setup' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Setup'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Exploration'
 'Setup' 'Computation' 'Setup' 'Exploration' 'Computation' 'Setup'
 'Exploration' 'Conclusion' 'Backtrack' 'Setup' 'Computation'
 'Computation' 'Backtrack' 'Backtrack' 'Conclusion' 'Conclusion'
 'Computation' 'Setup' 'Backtrack' 'Exploration' 'Exploration'
 'Exploration' 'Setup' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Setup' 'Computation' 'Setup' 'Computation'
 'Backtrack' 'Backtrack' 'Conclusion' 'Exploration' 'Setup' 'Computation'
 'Setup' 'Computation' 'Backtrack' 'Computation' 'Setup' 'Backtrack'
 'Conclusion' 'Computation' 'Setup' 'Exploration' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Setup' 'Computation' 'Setup' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Backtrack' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Conclusion' 'Setup' 'Exploration' 'Setup' 'Backtrack' 'Backtrack'
 'Backtrack' 'Setup' 'Conclusion' 'Setup' 'Setup' 'Backtrack'
 'Computation' 'Conclusion' 'Computation' 'Exploration' 'Computation'
 'Computation' 'Conclusion' 'Conclusion' 'Setup' 'Backtrack' 'Conclusion'
 'Conclusion' 'Setup' 'Computation' 'Conclusion' 'Verification'
 'Computation' 'Setup' 'Computation' 'Exploration' 'Computation'
 'Computation' 'Computation' 'Setup' 'Computation' 'Computation'
 'Computation' 'Exploration' 'Backtrack' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Exploration' 'Backtrack' 'Setup' 'Conclusion' 'Setup'
 'Computation' 'Backtrack' 'Exploration' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Setup' 'Computation'
 'Backtrack' 'Setup' 'Computation' 'Computation' 'Setup' 'Computation'
 'Setup' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Exploration' 'Computation' 'Computation'
 'Backtrack' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Setup' 'Conclusion' 'Conclusion' 'Backtrack' 'Setup'
 'Backtrack' 'Setup' 'Computation' 'Computation' 'Computation' 'Setup'
 'Setup' 'Conclusion' 'Setup' 'Conclusion' 'Computation' 'Setup'
 'Computation' 'Computation' 'Conclusion' 'Conclusion' 'Conclusion'
 'Setup' 'Exploration' 'Exploration' 'Conclusion' 'Conclusion'
 'Conclusion']",0,AI-MO/NuminaMath-CoT/aops_forum,467
2,gemini,"['Setup' 'Computation' 'Setup' 'Computation' 'Computation' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Setup' 'Computation' 'Verification'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Verification' 'Exploration'
 'Computation' 'Computation' 'Computation' 'Verification' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Exploration' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Exploration' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Setup' 'Computation'
 'Computation']",1,qq8933/AIME_1983_2024,67
2,deepseek,"['Computation' 'Computation' 'Backtrack' 'Exploration' 'Verification'
 'Computation' 'Computation' 'Computation' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Conclusion' 'Exploration' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Backtrack' 'Conclusion' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Conclusion' 'Computation' 'Computation' 'Exploration'
 'Backtrack' 'Computation' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Computation' 'Conclusion' 'Conclusion'
 'Backtrack' 'Conclusion' 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack'
 'Backtrack' 'Conclusion' 'Backtrack' 'Computation' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Conclusion' 'Conclusion' 'Backtrack'
 'Verification' 'Computation' 'Computation' 'Computation' 'Computation'
 'Backtrack' 'Exploration' 'Computation' 'Backtrack' 'Conclusion'
 'Backtrack' 'Backtrack' 'Computation' 'Verification' 'Setup'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Backtrack' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Backtrack' 'Conclusion' 'Conclusion' 'Conclusion'
 'Backtrack' 'Conclusion' 'Backtrack' 'Computation' 'Computation'
 'Computation' 'Computation' 'Conclusion' 'Conclusion' 'Conclusion'
 'Conclusion' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Conclusion' 'Conclusion']",1,qq8933/AIME_1983_2024,149
3,gemini,"['Exploration' 'Computation' 'Computation' 'Exploration' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Computation' 'Verification'
 'Conclusion' 'Exploration' 'Computation']",0,TIGER-Lab/TheoremQA/float,13
3,deepseek,"['Backtrack' 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack' 'Backtrack'
 'Backtrack' 'Backtrack' 'Backtrack' 'Setup' 'Backtrack' 'Backtrack'
 'Exploration' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Verification' 'Computation' 'Computation' 'Backtrack' 'Backtrack'
 'Setup' 'Exploration' 'Backtrack' 'Computation' 'Exploration'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Computation'
 'Backtrack' 'Verification' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Exploration' 'Verification'
 'Computation' 'Computation' 'Computation' 'Computation' 'Exploration'
 'Backtrack' 'Conclusion' 'Backtrack' 'Conclusion' 'Computation'
 'Backtrack' 'Setup' 'Exploration' 'Computation' 'Conclusion'
 'Verification' 'Conclusion' 'Computation' 'Setup' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Verification' 'Exploration' 'Computation' 'Computation'
 'Conclusion' 'Verification' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Conclusion' 'Exploration' 'Setup'
 'Verification' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Conclusion' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Exploration' 'Conclusion' 'Exploration' 'Backtrack' 'Conclusion'
 'Backtrack' 'Computation' 'Computation' 'Verification' 'Computation'
 'Computation' 'Backtrack' 'Exploration' 'Verification' 'Exploration'
 'Verification' 'Computation' 'Computation' 'Conclusion' 'Verification'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Computation' 'Backtrack' 'Computation'
 'Computation' 'Setup' 'Conclusion' 'Setup' 'Exploration' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Conclusion' 'Conclusion' 'Verification'
 'Computation' 'Exploration' 'Computation' 'Setup' 'Computation' 'Setup'
 'Backtrack' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Conclusion' 'Exploration' 'Setup' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Setup' 'Exploration' 'Computation' 'Backtrack' 'Setup'
 'Exploration' 'Computation' 'Computation' 'Computation' 'Computation'
 'Setup' 'Computation' 'Backtrack' 'Conclusion' 'Conclusion' 'Conclusion'
 'Conclusion' 'Conclusion' 'Backtrack' 'Exploration' 'Exploration'
 'Conclusion' 'Exploration' 'Conclusion' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Verification' 'Computation'
 'Conclusion' 'Conclusion' 'Conclusion' 'Conclusion' 'Backtrack'
 'Conclusion']",0,TIGER-Lab/TheoremQA/float,248
4,gemini,"['Setup' 'Setup' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Backtrack' 'Computation' 'Setup' 'Setup' 'Setup'
 'Computation' 'Computation' 'Verification' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation']",1,daman1209arora/jeebench/phy,22
4,deepseek,"['Computation' 'Setup' 'Computation' 'Computation' 'Computation'
 'Computation' 'Setup' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Backtrack' 'Conclusion' 'Computation' 'Backtrack'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Computation' 'Backtrack' 'Computation' 'Backtrack' 'Conclusion'
 'Backtrack' 'Backtrack' 'Verification' 'Setup' 'Exploration'
 'Computation' 'Backtrack' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Conclusion' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Backtrack'
 'Computation' 'Backtrack' 'Computation' 'Conclusion' 'Computation'
 'Conclusion' 'Computation' 'Conclusion' 'Computation' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Backtrack' 'Verification'
 'Computation' 'Backtrack' 'Conclusion' 'Computation' 'Conclusion'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Backtrack' 'Backtrack' 'Conclusion' 'Computation' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Conclusion' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Backtrack' 'Computation' 'Setup'
 'Conclusion' 'Conclusion' 'Conclusion' 'Exploration' 'Computation'
 'Backtrack' 'Backtrack' 'Backtrack' 'Computation' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Conclusion' 'Computation' 'Computation' 'Computation' 'Computation'
 'Computation' 'Computation' 'Conclusion' 'Backtrack' 'Computation'
 'Computation' 'Computation' 'Computation' 'Computation' 'Computation'
 'Exploration' 'Conclusion' 'Conclusion' 'Conclusion' 'Backtrack'
 'Computation' 'Computation' 'Computation' 'Computation' 'Conclusion'
 'Computation' 'Conclusion' 'Computation' 'Conclusion' 'Computation'
 'Computation' 'Computation' 'Computation' 'Conclusion' 'Setup' 'Setup'
 'Backtrack' 'Backtrack' 'Computation' 'Exploration' 'Exploration'
 'Exploration' 'Conclusion' 'Conclusion']",0,daman1209arora/jeebench/phy,179
